title,company,location,salary,job_url,description
Chuyên Viên Kinh Doanh,CÔNG TY CỔ PHẦN THƯƠNG MẠI BM,Hà Nội,Trên 30 Tr VND,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh.35C4CB57.html,"Mô tả Công việc
        Tìm kiếm, khai thác khách hàng tiềm năng, tư vấn và giới thiệu sản phẩm bất động sản của công ty.Thực hiện các cuộc gọi, gặp gỡ khách hàng, giới thiệu sản phẩm, giải đáp mọi thắc mắc của khách hàng.Xây dựng và duy trì mối quan hệ tốt đẹp với khách hàng, tạo dựng lòng tin và sự hài lòng cho khách hàng.Phân tích thị trường, nắm bắt nhu cầu của khách hàng, đưa ra các giải pháp phù hợp.Tham gia các hoạt động đào tạo, nâng cao nghiệp vụ kinh doanh bất động sản."
Business Development Senior  Executive,UrBox - Công ty Cổ phần Tiếp Thị Số Tô Quà,"Hồ Chí Minh,  Hà Nội",Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/business-development-senior-executive.35C4D818.html,"Mô tả Công việc
        Business Development Executive are responsible for driving business growth, developing a network of contacts to attract newclients, researching new market opportunities to develop sales and revenue growth plans.1. Manage and retain relationships with existing and new potential clients (B2B) as well as business partners!2. Develop new business opportunities by identifying target customer groups and new markets, developing marketapproaches3. Closely collaborate with other functional teams to fulfill customer inquiries and demands4. Perform work related to business operations such as sales processes, business contracts, invoices, business documents,revenue - profit reports... to support business growth."
Chuyên viên kinh doanh kênh Bưu điện tỉnh/Thành phố,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Hà Nội,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-kenh-buu-dien-tinh-thanh-pho.35C51D6A.html,"Mô tả Công việc
        + Tìm kiếm thông tin Khách hàng lớn (KHL) tiềm năng tại địa bàn các Tỉnh/Thành phố trên các kênh mạng xã hội để phối hợp cùng Bưu điện Tỉnh/Thành phố/Trung tâm (BĐT/TP/TT) tiếp thị, phục vụ.+ Đề xuất bán hàng và chăm sóc khách hàng áp dụng cho KHL của BĐT/TP.+ Trao đổi đơn vị qua các buổi họp/ công tác.+ Tham gia đào tạo sản phẩm dịch vụ cho các BĐT/TP chuyên quản về các sản phẩm dịch vụ của EMS.+ Tham gia phân tích, đánh giá số liệu doanh thu các tỉnh chuyên quản hàng tuần/tháng.+ Thực hiện các công việc liên quan khác theo sự phân công của Ban lãnh đạo."
Nhân Viên Kinh Doanh,CÔNG TY TNHH CÁP THÉP TUẤN ANH,Hà Nội,18 Tr - 25 Tr VND,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh.35C48D0E.html,"Mô tả Công việc
        Vị trí Nhân viên kinh doanh qua điện thoạiLàm việc tại văn phòng, không đi thị trườngĐược cung cấp máy tính, điện thoại và data tiềm năng có sẵn.Tìm kiếm các khách hàng có nhu cầu đối với các mặt hàng công ty phân phốiTư vấn cho khách hàng các sản phẩm của Công ty.Tiếp nhận các thông tin của khách hàng liên quan việc báo giá.Thực hiện các công việc: tính giá, lập báo giá..., đàm phán và theo dõi kết quả.Thực hiện các thủ tục ký kết đơn đặt hàng, hợp đồng mua bán.Tiếp nhận và trực tiếp hoặc phối hợp với các Bộ phận liên quan trong việc giải quyết các khiếu nại của khách hàng (nếu có).PHÚC LỢILương cơ bản 9 triệu + hoa hồng cao, hấp dẫn => Tổng thu nhập trung bình từ 18 triệu - 25 triệu, có thể đạt 40 triệu - 45 triệu (tùy vào năng lực ứng viên)Thưởng doanh số tháng / quý / nămLương tháng 13Thưởng Lễ, Tết theo quy định của Công tyTham gia đầy đủ các chế độ đầy đủ theo Luật lao động, Luật BHXH"
Trưởng Nhóm Quản Lý Sàn TMĐT,Công ty TNHH Dịch Vụ Quốc Tế Bắc Nam,Hà Nội,15 Tr - 30 Tr VND,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-quan-ly-san-tmdt.35C4EA83.html,"Mô tả Công việc
        1. Trách nhiệm chính- Xây dựng ý tưởng, chiến lược và lập kế hoạch xây dựng gian hàng TMĐT (Shopee, Lazada, Tiktok Shop…)- Xây dựng và triển khai chiến lược, chiến dịch quảng cáo ngoại sàn và nội sàn để tăng doanh thu.- Nắm bắt được cách thức vận hành mỗi sàn và xử lý được tất cả các vấn đề trên các sàn TMĐT.- Chăm sóc khách hàng và seeding.- Thu nhận và quản lý khiếu nại, các vấn đề cần giải quyết của khách hàng và cung cấp thông tin tới các bộ phận phù hợp để xử lý khiếu nại đó,- Thiết kế và quản lý các sản phẩm đảm bảo tất cả hình ảnh, chủ đề, nội dung về sản phẩm chính xác, tuân theo các nguyên tắc của Công ty và của sàn.- Kiểm tra hình ảnh, nội dung thay đổi cho phù hợp với chủ đề gian hàng và từng chiến dịch MKT.- Lập kế hoạch chạy quảng cáo nội sàn và đấu thầu từ khóa hàng tháng.- Lập kế hoạch và triển khai kế hoạch tháng, báo hoạt động hiệu quả.- Thường xuyên đo lường, thống kê và tối ưu các chiến dịch quảng cáo để đaṭ hiêu quả tốt nhất;- Nghiên cứu thị trường, xu hướng, Marketing cho sản phẩm (Chạy Live, quảng cáo video...);- Quản lí và Phát triển hệ thống live cộng tác viên, KOC, KOLs- Đàm phán, phối hợp hiệu quả với team marketing của Shopee, Lazada, Tiki, Tiktok Shop""- Quản lý chi phí, kiểm soát và tối ưu kết quả thực hiện dựa trên chi phí đã đưa ra;- Quản lý giá, hiểu được cách tính giá, các loại phí sàn để xây dựng các chường trình khuyến mãi của sàn, shop.- Theo dõi, báo cáo doanh thu định kỳ từ các Sàn TMĐT.- Tổ chức - Sắp xếp vệ sinh : Luôn gọn gàng, ngăn nắp, khoa học và sạch sẽ nơi làm việc- Phối hợp: Luôn có tinh thần hợp tác, phối hợp các phòng ban, bộ phận khác trong công việc liên quan đến Công ty- Yêu cầu chungBáo cáo ngay cho Trưởng bộ phận/ban Giám đốc về mọi sự cố xảy ra trong quá trình giao nhận hàng hóa để có biện pháp xử lý kịp thời;Có trách nhiệm bảo mật thông tin Công ty về: Thông tin hàng hóa, kho bãi, khách hàng, chính sách khách hàng, chính sách lương thưởngLuôn vui vẻ, nhiệt tình, thân thiện với khách hàng và đồng nghiệp. Tuyệt đối không chấp nhận hành vi có thái độ tiêu cực với khách hàng và đồng nghiệp.Thực hiện triển khai các công việc khác theo sự phân công chỉ đạo trực tiếp của Trưởng bộ phận và ban Giám đốc.2. Quyền hạn- Sử dụng đúng tài khoản theo phân quyền- Xây dựng chiếm lược, chiến dịch quảng cáo trên các sàn và shop.- Triển khai các phương án đã được duyệt từ cấp trên.- Ngăn chặn những hành vi làm tổn thất tài sản của Công ty.- Tham mưu những vấn đề tồn tại ảnh hưởng đến hiệu quả công việc.Quyền Lợi:- Lương, thưởng hấp dẫn thỏa thuận theo năng lực: 12M - 16M (lương base) + thưởng KPI- Có phụ cấp hỗ trợ đi lại cho ứng viên ở xa- Được tham gia bảo hiểm xã hội theo quy định- Được xét tăng lương hàng năm- Thời gian thử việc: 2 tháng- Được tham gia BHXH, BHYT, BHTN theo quy định- Thưởng Lễ, Tết, sinh nhật, ốm đau, chế độ hiếu hỷ theo quy định của công ty- Hàng năm công ty đều tổ chức tham quan du lịch cho CBCNV- Văn phòng làm việc hiện đại, có phòng ăn, tầng thượng thư giãn Chill Chill, có phòng tập Gym và thuê riêng giáo viên dạy Yoga cho CNV"
Nhân viên kinh doanh dịch vụ tại Hà Nội,CÔNG TY TNHH SANITEC VIỆT NAM,Hà Nội,10 Tr - 15 Tr VND,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-dich-vu-tai-ha-noi.35C4C477.html,"Mô tả Công việc
        Tìm kiếm, xây dựng, kết nối với khách hàng tiềm năngThực hiện tư vấn, giới thiệu những thông tin phù hợp, đáp ứng được mong muốn, nhu cầu của khách hàng. Chuẩn bị các bản nội dung thuyết trình trong trường hợp cần thiết;Thực hiện lập báo giá, dự toán, đàm phán hơp đồng theo yêu cầu của khách hàngDuy trì quan hệ với khách hàng, chăm sóc, hỗ trợ khách hàng khi có yêu cầu;Theo dõi và hỗ trợ việc thực hiện hợp đồng, hỗ trợ việc thanh lý và thanh toán của khách hàng.Kết hợp với Marketing để triển khai các chương trình bán hàng, sự kiện online/ofline của phòng;Thực hiện các công việc khác theo chức năng, nhiệm vụ được phân công.Thực hiện các công việc theo sự chỉ đạo của cấp trên"
Chuyên Viên Kênh MT,Công ty TNHH Dịch Vụ Quốc Tế Bắc Nam,"Hà Nội,  Hồ Chí Minh",15 Tr - 30 Tr VND,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kenh-mt.35C4EA74.html,"Mô tả Công việc
        1. Chịu trách nhiệm quản lý, phát triển chiến lược tiếp thị- Xây dựng phương pháp tiếp cận từng chuỗi và listing được vào chuỗi theo KPI được giao- Phôi hợp với cấp trên để phát triển các chiến lược tiếp thị- Cập nhật bảng giá theo kênh bán- Tổng hợp và cập nhật Sales Forecast từng chuỗi theo tưng tháng, quý, năm- Tìm nguyên nhân, đánh giá và thực hiện các thay đổi cần thiết theo yêu cầu trong quy trình kinh doanh.- Xử lý đơn hàng và tất cả các vấn đề phát sinh trong quá trình chào hàng, bán hàng, xuất hóa đơn và giao nhận hàng hóa- Chịu trách nhiệm quản lý tình hình bán hàng của các nhãn phụ trách:- Xây dựng và triển khai các chiến lược tiếp thị thương mại nhằm tăng trưởng doanh số bán hàng và nâng cao nhận thức về thương hiệu.- Lập kế hoạch và chiến lược để đảm bảo hình ảnh thương hiệu (ở cấp độ cửa hàng)- Lên kế hoạch triển khai và đảm bảo thực hiện khuyến mãi thúc đẩy doanh số tại các chuỗi.- Liên tục phát triển thương hiệu, thị phần tại hệ thống được giao.- Phối hợp với MKT và các bộ phận triển khai kế hoạch khuyến mãi- Thực hiện giao dịch bán hàng, phân tích danh mục hàng hóa, triển khai công việc , và xây dựng các hành động nhằm đạt mục tiêu doanh số- Phát triển và xem xét đề xuất các kế hoạch kinh doanh với khách hàng (hàng quý) để đảm bảo sự thống nhất chặt chẽ và việc thực hiện hoàn hảo từ cả hai bên- Hỗ trợ Quản lý kinh doanh ghi nhận các phản hồi từ các hoạt động tại cửa hàng hoặc từ người tiêu về sản phẩm- Đàm phán hợp đồng hiệu quả, đảm bảo quyền lợi các bên- Làm việc với KH khi có sản phẩm mới (Listing), đảm bảo sản phẩm được trưng bày/ lên kệ tốt nhất- Quản lý hoạt động xúc tiến: Lập kế hoạch,triển khai, theo dõi tiến hành và đánh giá nghiệm thu- Các công việc theo chỉ đạo từ cấp trên.2. Chăm sóc khách hàng- Xây dựng và phát triển các mối quan hệ với khách hàng tiềm năng và đối tác,- Duy trì mối quan hệ lâu dài với khách hàng hoặc quản lý thu mua/ngành hàng tại các chuỗi siêu thị- Là cầu nối giữa khách hàng và công ty, luôn cập nhật đầy đủ các chương trình của công ty cho Khách hàng-Thực hiện việc chăm sóc các KH lớn: Các chuỗi MT, Các việc này sẽ được lên kế hoạch tuần, tháng để đảm bảo các khách hàng này luôn có tinh thần hợp tác tốt.3. Xử lý Công nợ Khách hàng- Đàm phán,thương thảo với khách hàng và đề xuất các hành động, hoạt động cũng như kế hoạch xử lý tốt công nợ KH- Dựa trên hợp đồng nguyên tắc bán hàng đã ký, kiểm tra các điều khoản thanh toán, số lượng, mặt hàng mua, hạn mức nợ và thời hạn thanh toán mà công ty chấp nhận cho từng Khách hàng.- Theo dõi tình hình thanh toán của khách hàng,Trường hợp, khách trả chậm theo điều khoản hợp đồng tính lãi quá hạn trình Trưởng Bộ Phận/ Ban Giám Đốc.4. Lập báo cáo- Cuối tuần: Gửi báo cáo kinh doanh tổng quan tuần tình hình các chuỗi đang chăm sóc- Tháng: Gửi báo cáo công việc hoàn thành trong tháng- Chịu trách nhiệm về độ chính xác của số liệu lưu trữ.- Nhận báo cáo doanh số hàng ngày theo từng kênh bán hàng, data, thông tin sản phẩm đang bán, date, số lượng hàng tồn, các kênh bán hàng, tổng hợp thông tin vào file theo dõi5. Tổ chức - Sắp xếp vệ sinh- Luôn gọn gàng, ngăn nắp, khoa học và sạch sẽ nơi làm việc6. Phối hợp- Luôn có tinh thần hợp tác, phối hợp các phòng ban, bộ phận khác trong công việc liên quan đến Công ty7. Yêu cầu chung- Báo cáo ngay cho Trưởng bộ phận/ban Giám đốc về mọi sự cố xảy ra trong quá trình giao nhận hàng hóa để có biện pháp xử lý kịp thời;- Có trách nhiệm bảo mật thông tin Công ty về: Thông tin hàng hóa, kho bãi, khách hàng, chính sách khách hàng, chính sách lương thưởng- Luôn vui vẻ, nhiệt tình, thân thiện với khách hàng và đồng nghiệp. Tuyệt đối không chấp nhận hành vi có thái độ tiêu cực với khách hàng và đồng nghiệp.- Thực hiện triển khai các công việc khác theo sự phân công chỉ đạo trực tiếp của Trưởng bộ phận và ban Giám đốc.Quyền Lợi:- Lương, thưởng hấp dẫn thỏa thuận theo năng lực: 12M - 20M (lương base) + thưởng KPI- Có phụ cấp hỗ trợ đi lại cho ứng viên ở xa- Được tham gia bảo hiểm xã hội theo quy định- Được xét tăng lương hàng năm- Thời gian thử việc: 2 tháng- Được tham gia BHXH, BHYT, BHTN theo quy định- Thưởng Lễ, Tết, sinh nhật, ốm đau, chế độ hiếu hỷ theo quy định của công ty- Hàng năm công ty đều tổ chức tham quan du lịch cho CBCNV- Văn phòng làm việc hiện đại, có phòng ăn, tầng thượng thư giãn Chill Chill, có phòng tập Gym và thuê riêng giáo viên dạy Yoga cho CNV"
Nhân Viên Kinh Doanh,CÔNG TY TNHH  HỒNG ĐẠT,Hồ Chí Minh,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh.35C4C8A9.html,"Mô tả Công việc
        - Tìm kiếm khách hàng mới, chăm sóc khách hàng hiện tại.- Lập kế hoạch bán hàng với các sản phẩm của công ty.- Theo dõi, giám sát đơn hàng để đảm bảo tiến độ giao hàng.- Báo cáo, đánh giá định kỳ diễn biến giao dịch với khách hàng tiềm năng.- Tiếp nhận, xử lý, theo dõi quá trình giải quyết khiếu nại của khách hàng."
TRƯỞNG PHÒNG KINH DOANH,CÔNG TY TNHH  HỒNG ĐẠT,Hồ Chí Minh,Trên 15 Tr VND,https://careerviet.vn/vi/tim-viec-lam/truong-phong-kinh-doanh.35C4C8AA.html,"Mô tả Công việc
        Số lượng: 01 Trưởng Phòng Kinh Doanh* TRƯỞNG PHÒNG KINH DOANH:LÀM VIỆC TẠI TRỤ SỞ CTY: 2969A QL1A, KP5, P.Tân Thới Nhất, Quận 12- Quản lý đội ngũ nhân viên kinh doanh nhằm đạt mục tiêu tăng trưởng và các mục tiêu khác do Ban Lãnh đạo đề ra.- Lập kế hoạch kinh doanh và phương án thực hiện kế hoạch kinh doanh khả thi.- Phân tích thị trường, xây dựng và phát triển hệ thống khách hàng.- Thiết lập hệ thống phân loại khách hàng và xây dựng cơ chế, chính sách chăm sóc khách hàng.- Thực hiện phân bổ và giao chỉ tiêu kinh doanh, khu vực, khách hàng cho nhân viên kinh doanh.- Xây dựng phương thức đánh giá hiệu quả làm việc của nhân viên kinh doanh.- Hỗ trợ, giám sát nhân viên kinh doanh lập và thực thi phương án hành động thực hiện kế hoạch kinh doanh và chăm sóc khách hàng.- Xây dựng, tối ưu quy trình bán hàng từng bước lên kế hoạch đến khi chốt sales- Chịu trách nhiệm tuyển dụng, đào tạo đội ngũ nhân viên kinh doanh.- Xác định các thị trường tiềm năng cùng những biến động thị trường; đồng thời luôn cập nhật các tình hình của đối thủ và các sản phẩm mới.- Xây dựng các quy trình có liên quan, bảng MTCV, hướng dẫn công việc, sổ tay nhân viên,…- Làm các công việc khác theo yêu cầu của Ban Lãnh đạo.- Ưu tiên nhân sự trẻ, năng động"
Area Sales Manager - Quản lý Kinh doanh Khu vực,Vietmap - Công ty Cổ phần Ứng Dụng Bản Đồ Việt,"Hà Nội,  Hồ Chí Minh",20 Tr - 25 Tr VND,https://careerviet.vn/vi/tim-viec-lam/area-sales-manager-quan-ly-kinh-doanh-khu-vuc.35C511A8.html,"Mô tả Công việc
        Chúng tôi cần tìm ứng viên cho vị trí Area Sales Manager - Quản lý Kinh doanh Khu vực (Miền Bắc và Miền Nam) với trách nhiệm quản lý và phát triển doanh số tại khu vực được giao, dẫn dắt đội ngũ kinh doanh, làm việc chặt chẽ với hệ thống đại lý, và đảm bảo triển khai hiệu quả các chiến lược, chỉ tiêu và hoạt động bán hàng nhằm tối đa hóa thị phần và doanh thu.Mô tả công việc:Xây dựng và triển khai kế hoạch bán hàng theo tháng/quý phù hợp với mục tiêu công ty.Dẫn dắt, đào tạo và tạo động lực cho đội ngũ kinh doanh đạt chỉ tiêu hiệu suất.Quản lý và mở rộng mạng lưới đại lý/đối tác tại khu vực phụ trách.Giám sát và đảm bảo các đại lý tuân thủ chính sách giá, khuyến mãi và quy định công ty.Theo dõi dữ liệu bán hàng, chuẩn bị báo cáo và đề xuất giải pháp cải tiến.Phối hợp với các phòng ban nội bộ (marketing, vận hành, hậu cần) để hỗ trợ triển khai ngoài thị trường.Khách hàng & Sản phẩm:Khách hàng: Hãng xe, showroom xe, cửa hàng đồ chơi - phụ kiện nội thất ô tô,...Sản phẩm: Phụ kiện ô tô, thiết bị camera hành trình, phần mềm bản đồ, HUD, đầu DVD, DVD Box,..."
